id_propiedad,zona,anillo_vial,estrato_socioeconomico,latitud,longitud,distancia_centro_km,distancia_av_banzer_km,tipo_propiedad,superficie_total_m2,superficie_construida_m2,habitaciones,banos,pisos,garage_vehiculos,antiguedad_anos,estado_conservacion,material_construccion,orientacion,tiene_piscina,tiene_jardin,amueblado,tiene_ascensor,seguridad_24h,precio_m2_usd,precio_total_usd,precio_total_bs,fecha_publicacion,disponible
SC-00843,Warnes,6,Bajo,-17.500306,-63.167775,32.88,25.5,Penthouse,131,119,2,1,1,0,29,Bueno,Steel frame,Noreste,0,0,0,0,0,135.52,15600.0,108600.0,2022-12-12,1
SC-00844,Equipetrol Norte,3,Alto,-17.762215,-63.182943,2.41,3.58,Casa,284,190,4,3,3,4,49,Malo,Hormigón armado,Norte,1,1,1,0,0,521.24,94500.0,657700.0,2023-03-27,1
SC-00845,Equipetrol Norte,3,Alto,-17.755038,-63.19637,4.62,2.78,Departamento,97,94,2,2,1,2,1,Excelente,Hormigón armado,Noreste,0,0,0,0,1,1368.91,127700.0,888800.0,2022-09-23,0
SC-00846,Urbarí,2,Alto,-17.758443,-63.207399,5.41,3.16,Departamento,98,97,2,3,1,0,20,Bueno,Hormigón armado,Oeste,1,0,1,1,1,710.72,71100.0,494900.0,2022-03-04,0
SC-00847,Av. Paurito,5,Medio-Bajo,-17.786938,-63.212457,3.66,6.32,Duplex,429,252,2,3,3,0,45,Excelente,Hormigón armado,Sur,0,0,0,0,0,272.25,66100.0,460100.0,2022-08-31,1
SC-00848,Av. Cristo Redentor,3,Medio,-17.755855,-63.171733,4.1,2.87,Oficina,414,171,5,1,3,2,27,Regular,Hormigón armado,Sureste,0,0,0,1,0,358.71,60500.0,421100.0,2023-10-30,1
SC-00849,El Trompillo,2,Medio-Alto,-17.78606,-63.184844,0.64,6.22,Casa,667,304,2,2,2,2,2,Regular,Mixto,Noroeste,0,0,1,0,1,755.82,223000.0,1552100.0,2022-08-09,1
SC-00850,Av. Cristo Redentor,3,Medio,-17.775517,-63.170865,2.01,5.05,Terreno,132,0,0,0,0,0,0,Regular,Ladrillo,Sur,0,0,0,0,0,160.1,20900.0,145500.0,2022-08-18,1
SC-00851,Av. Paurito,5,Medio-Bajo,-17.786569,-63.228437,5.3,6.28,Departamento,191,179,4,3,1,0,23,Excelente,Hormigón armado,Suroeste,0,0,1,0,0,322.57,55900.0,389100.0,2022-11-21,1
SC-00852,Palermo,3,Medio,-17.774754,-63.179663,1.16,4.97,Casa,208,128,3,3,1,2,49,En construcción,Ladrillo,Suroeste,0,1,0,0,0,236.37,29900.0,208100.0,2024-01-21,0
SC-00853,Cotoca (periurbano),6,Bajo,-17.817959,-63.057356,17.05,9.76,Casa,138,108,6,1,2,3,41,Bueno,Ladrillo,Este,0,0,0,0,0,108.65,11700.0,81400.0,2023-07-05,1
SC-00854,El Trompillo,2,Medio-Alto,-17.792501,-63.18047,1.22,6.94,Terreno,384,0,0,0,0,0,0,Regular,Hormigón armado,Sur,0,0,1,0,1,343.43,126000.0,877000.0,2022-03-25,1
SC-00855,Av. Banzer (norte),4,Medio-Alto,-17.732678,-63.181861,5.6,0.3,Casa,394,191,5,2,1,0,29,Regular,Hormigón armado,Sur,0,1,0,0,0,365.52,71200.0,495600.0,2022-05-10,0
SC-00856,Palermo,3,Medio,-17.791848,-63.181952,0.99,6.87,Casa,115,95,3,1,1,4,32,Bueno,Hormigón armado,Oeste,0,0,1,0,0,370.61,35800.0,249200.0,2023-12-31,1
SC-00857,Plan 3000,4,Bajo,-17.797538,-63.126066,7.53,7.5,Oficina,295,159,4,1,3,0,2,Bueno,Hormigón armado,Suroeste,0,0,1,1,0,377.31,61300.0,426600.0,2024-01-29,0
SC-00858,Casco Viejo,1,Medio,-17.786418,-63.167999,1.86,6.26,Departamento,142,126,2,3,1,2,5,Malo,Hormigón armado,Norte,0,0,1,0,0,280.81,35300.0,245700.0,2023-08-31,1
SC-00859,Sur (Doble Vía La Guardia),4,Medio,-17.818508,-63.177485,4.42,9.82,Departamento,101,89,3,2,1,2,5,Regular,Hormigón armado,Suroeste,0,0,1,1,0,240.39,20500.0,142700.0,2022-12-16,1
SC-00860,Av. Banzer (norte),4,Medio-Alto,-17.728269,-63.195362,7.49,0.19,Departamento,137,121,4,2,1,1,10,Regular,Ladrillo,Oeste,0,0,0,1,1,333.46,41700.0,290200.0,2023-03-17,1
SC-00861,Av. Cristo Redentor,3,Medio,-17.774853,-63.17422,1.73,4.98,Departamento,116,111,1,2,1,0,9,Bueno,Mixto,Noreste,0,0,0,1,0,373.65,43000.0,299300.0,2022-09-23,0
SC-00862,Los Pozos,3,Medio,-17.790851,-63.173176,1.8,6.75,Local Comercial,285,208,4,2,1,4,13,Regular,Hormigón armado,Norte,0,0,1,0,0,272.73,58300.0,405800.0,2023-07-07,1
SC-00863,Las Palmas,2,Alto-Medio,-17.755443,-63.209625,5.98,2.82,Departamento,104,91,1,2,1,1,6,Malo,Hormigón armado,Sur,0,0,1,0,1,403.91,38500.0,268000.0,2024-01-04,1
SC-00864,Palermo,3,Medio,-17.763489,-63.191495,3.17,3.72,Departamento,85,75,4,2,1,0,8,Regular,Hormigón armado,Noroeste,0,0,1,0,0,306.34,23500.0,163600.0,2024-04-02,1
SC-00865,Los Pozos,3,Medio,-17.803819,-63.179345,2.59,8.19,Terreno,289,0,0,0,0,0,0,Bueno,Hormigón armado,Sur,0,0,0,0,0,198.96,55700.0,387700.0,2023-12-25,1
SC-00866,Beni (zona norte),3,Medio-Alto,-17.748823,-63.177149,4.31,2.09,Casa,280,127,2,3,1,0,35,Regular,Mixto,Oeste,0,0,1,0,1,262.06,33200.0,231100.0,2023-11-21,1
SC-00867,Warnes,6,Bajo,-17.496377,-63.155182,34.65,25.93,Departamento,111,103,2,3,1,1,15,Excelente,Ladrillo,Oeste,0,0,0,0,0,164.48,16800.0,116900.0,2022-01-04,1
SC-00868,Warnes,6,Bajo,-17.494138,-63.166731,33.68,26.18,Departamento,168,160,2,1,1,2,13,Regular,Ladrillo,Suroeste,0,0,0,1,0,143.58,24000.0,167000.0,2023-06-28,1
SC-00869,Las Palmas,2,Alto-Medio,-17.761523,-63.20663,4.99,3.5,Casa,169,69,3,3,3,3,31,Excelente,Hormigón armado,Noreste,0,1,0,0,1,538.0,37400.0,260300.0,2023-03-06,0
SC-00870,Plan 3000,4,Bajo,-17.813351,-63.132644,8.59,9.25,Terreno,196,0,0,0,0,0,0,Bueno,Hormigón armado,Sur,0,0,0,0,0,150.15,30900.0,215100.0,2022-12-22,1
SC-00871,Barrio Sirari,3,Medio-Alto,-17.757391,-63.193903,4.1,3.04,Terreno,329,0,0,0,0,0,0,Bueno,Hormigón armado,Oeste,0,0,0,0,0,314.29,101500.0,706400.0,2022-01-30,1
SC-00872,Av. Banzer (norte),4,Medio-Alto,-17.727874,-63.169712,7.42,0.24,Local Comercial,96,39,5,1,3,2,49,Bueno,Hormigón armado,Sureste,0,0,0,0,1,505.57,19400.0,135000.0,2022-09-24,0
SC-00873,Casco Viejo,1,Medio,-17.777213,-63.175005,1.38,5.24,Terreno,202,0,0,0,0,0,0,Regular,Hormigón armado,Sureste,0,0,0,0,0,215.57,43300.0,301400.0,2022-08-15,1
SC-00874,Las Palmas,2,Alto-Medio,-17.754,-63.202831,5.42,2.66,Casa,414,166,2,3,1,4,38,Regular,Adobe,Sur,1,0,1,0,1,430.05,71700.0,499000.0,2023-11-02,1
SC-00875,Hamacas,2,Alto-Medio,-17.742151,-63.192545,5.65,1.35,Departamento,120,110,2,3,1,2,12,Bueno,Ladrillo,Norte,1,0,1,0,1,521.72,57600.0,400900.0,2022-02-06,0
SC-00876,Los Pozos,3,Medio,-17.781835,-63.174886,0.88,5.75,Departamento,202,176,4,2,1,0,1,Regular,Ladrillo,Norte,0,0,0,1,0,322.79,56100.0,390500.0,2022-10-06,1
SC-00877,Palermo,3,Medio,-17.76918,-63.175705,2.2,4.35,Departamento,63,59,4,1,1,2,26,Excelente,Ladrillo,Sureste,0,0,1,0,0,433.77,25600.0,178200.0,2022-01-21,1
SC-00878,Palermo,3,Medio,-17.786269,-63.177865,0.8,6.25,Departamento,73,69,2,1,1,2,23,Regular,Hormigón armado,Noroeste,0,0,1,1,0,342.4,23000.0,160100.0,2023-03-12,1
SC-00879,Equipetrol Norte,3,Alto,-17.746097,-63.192816,5.24,1.79,Casa,317,178,3,1,2,4,41,Regular,Hormigón armado,Oeste,0,1,0,0,0,850.57,152500.0,1061400.0,2023-01-27,1
SC-00880,Warnes,6,Bajo,-17.50146,-63.170839,32.43,25.37,Departamento,288,265,3,3,1,0,22,Excelente,Mixto,Suroeste,0,0,0,0,0,213.85,57100.0,397400.0,2023-01-14,1
SC-00881,Urbarí,2,Alto,-17.755998,-63.181256,3.08,2.89,Casa,269,157,3,1,1,1,35,Bueno,Mixto,Oeste,1,0,1,0,1,853.96,130600.0,909000.0,2022-03-02,0
SC-00882,Casco Viejo,1,Medio,-17.769001,-63.183697,1.73,4.33,Casa,160,105,4,2,1,4,20,Bueno,Hormigón armado,Suroeste,0,1,1,0,0,394.37,43000.0,299300.0,2023-07-13,1
SC-00883,Av. Paurito,5,Medio-Bajo,-17.81345,-63.233521,8.83,9.26,Casa,398,190,5,4,3,0,35,Excelente,Hormigón armado,Norte,0,0,0,0,0,191.41,37200.0,258900.0,2022-06-15,1
SC-00884,Urbarí,2,Alto,-17.770269,-63.200378,3.36,4.47,Casa,102,60,2,1,2,1,31,Bueno,Hormigón armado,Sur,0,1,0,0,0,605.42,35700.0,248500.0,2023-03-22,0
SC-00885,Barrio Sirari,3,Medio-Alto,-17.742704,-63.1735,5.37,1.41,Local Comercial,301,122,4,3,3,4,23,Bueno,Hormigón armado,Noroeste,0,0,1,0,1,522.46,63400.0,441300.0,2023-06-16,1
SC-00886,Warnes,6,Bajo,-17.50478,-63.179343,31.16,25.0,Casa,153,101,4,2,1,3,33,Bueno,Hormigón armado,Norte,0,1,0,0,0,163.83,16900.0,117600.0,2022-11-16,1
SC-00887,Las Palmas,2,Alto-Medio,-17.744751,-63.214089,7.64,1.64,Casa,257,130,5,3,1,4,3,Bueno,Ladrillo,Oeste,0,1,0,0,1,896.14,113100.0,787200.0,2022-10-09,1
SC-00888,El Trompillo,2,Medio-Alto,-17.805987,-63.178401,2.93,8.43,Departamento,133,118,3,2,1,1,19,Bueno,Ladrillo,Sur,0,0,1,0,1,522.7,59900.0,416900.0,2024-01-19,1
SC-00889,Las Palmas,2,Alto-Medio,-17.762837,-63.208594,5.05,3.64,Departamento,193,178,2,3,1,2,18,Bueno,Mixto,Suroeste,0,0,0,0,1,461.63,80400.0,559600.0,2022-08-03,1
SC-00890,Los Pozos,3,Medio,-17.794,-63.168272,2.67,7.1,Penthouse,64,60,1,3,1,0,4,Bueno,Mixto,Norte,0,0,0,0,0,508.31,29600.0,206000.0,2022-05-21,1
SC-00891,Cotoca (periurbano),6,Bajo,-17.814996,-63.052822,17.21,9.43,Terreno,168,0,0,0,0,0,0,Bueno,Hormigón armado,Sureste,0,0,0,0,0,72.96,12000.0,83500.0,2023-01-22,0
SC-00892,Barrio Sirari,3,Medio-Alto,-17.74921,-63.182383,3.79,2.13,Departamento,164,147,3,3,1,2,2,Malo,Ladrillo,Sureste,0,0,1,0,0,452.69,68800.0,478800.0,2023-07-28,1
SC-00893,Sur (Doble Vía La Guardia),4,Medio,-17.825119,-63.169199,6.03,10.56,Casa,285,135,2,4,3,1,22,Bueno,Ladrillo,Sureste,0,1,0,0,0,162.51,21700.0,151000.0,2022-08-07,1
SC-00894,Beni (zona norte),3,Medio-Alto,-17.758182,-63.17661,3.32,3.13,Local Comercial,332,151,3,4,2,0,11,Bueno,Ladrillo,Noroeste,0,0,0,0,1,468.29,72900.0,507400.0,2022-04-07,0
SC-00895,El Trompillo,2,Medio-Alto,-17.79171,-63.179547,1.23,6.85,Departamento,184,160,1,3,1,0,8,En construcción,Ladrillo,Noreste,0,0,1,0,1,361.9,58800.0,409200.0,2023-10-03,1
SC-00896,Av. Cristo Redentor,3,Medio,-17.77576,-63.165767,2.52,5.08,Casa,399,284,5,4,2,3,11,Regular,Hormigón armado,Noroeste,0,0,1,0,0,421.75,120600.0,839400.0,2022-01-30,1
SC-00897,Barrio Sirari,3,Medio-Alto,-17.741048,-63.187438,5.23,1.23,Terreno,410,0,0,0,0,0,0,Excelente,Mixto,Sur,0,0,0,0,0,549.86,227000.0,1579900.0,2022-02-27,1
SC-00898,Barrio Sirari,3,Medio-Alto,-17.750693,-63.197547,5.23,2.3,Casa,85,67,6,3,1,4,41,Malo,Mixto,Este,0,0,0,0,0,217.0,14500.0,100900.0,2023-08-24,1
SC-00899,Villa 1ro de Mayo,4,Bajo,-17.797168,-63.133969,6.65,7.46,Casa,91,59,5,4,3,0,42,Bueno,Ladrillo,Sur,0,1,1,0,0,161.23,9200.0,64000.0,2022-06-26,1
SC-00900,Casco Viejo,1,Medio,-17.773761,-63.173967,1.87,4.86,Casa,356,168,6,4,1,0,40,Excelente,Hormigón armado,Sur,0,1,1,0,0,293.47,50700.0,352900.0,2023-08-03,0
SC-00901,Equipetrol Sur,3,Alto,-17.764249,-63.184139,2.31,3.8,Local Comercial,436,191,3,1,1,4,20,Excelente,Ladrillo,Suroeste,0,0,0,0,1,1044.42,202400.0,1408700.0,2022-03-25,0
SC-00902,El Trompillo,2,Medio-Alto,-17.79695,-63.19822,3.26,7.43,Casa,136,109,3,2,2,3,3,Bueno,Hormigón armado,Oeste,0,0,0,0,1,726.22,75800.0,527600.0,2022-10-07,0
SC-00903,Las Palmas,2,Alto-Medio,-17.766871,-63.210635,4.82,4.09,Casa,199,95,5,3,1,2,31,Regular,Mixto,Norte,0,1,1,0,1,621.75,57100.0,397400.0,2024-05-04,1
SC-00904,Las Palmas,2,Alto-Medio,-17.766799,-63.195513,3.23,4.08,Departamento,131,116,4,2,1,2,20,Malo,Mixto,Sur,0,0,0,0,1,390.29,45100.0,313900.0,2023-06-10,0
SC-00905,Casco Viejo,1,Medio,-17.796521,-63.189276,2.27,7.38,Departamento,128,117,1,1,1,2,16,Bueno,Hormigón armado,Sureste,0,0,1,0,0,278.46,31300.0,217800.0,2023-11-06,1
SC-00906,Equipetrol Norte,3,Alto,-17.760448,-63.168711,3.91,3.38,Terreno,272,0,0,0,0,0,0,Bueno,Hormigón armado,Sur,0,0,1,0,1,542.56,144000.0,1002200.0,2022-07-11,0
SC-00907,Plan 3000,4,Bajo,-17.806747,-63.130827,8.04,8.52,Departamento,190,172,2,1,1,2,14,Bueno,Hormigón armado,Oeste,0,0,0,0,0,145.52,25600.0,178200.0,2022-09-16,1
SC-00908,Norte (Radial 26),4,Medio-Alto,-17.726626,-63.15708,8.89,0.37,Departamento,133,127,4,2,1,0,1,Bueno,Mixto,Sureste,0,0,1,0,1,672.0,83300.0,579800.0,2023-08-31,1
SC-00909,Av. Banzer (norte),4,Medio-Alto,-17.720345,-63.177611,7.42,1.07,Local Comercial,592,240,6,2,3,1,48,En construcción,Steel frame,Noreste,0,0,0,0,1,390.69,89700.0,624300.0,2024-03-22,0
SC-00910,Palermo,3,Medio,-17.763526,-63.165645,3.89,3.72,Departamento,148,135,2,2,1,2,0,Bueno,Hormigón armado,Oeste,0,0,0,0,0,282.36,38700.0,269400.0,2024-05-28,1
SC-00911,Equipetrol Sur,3,Alto,-17.76422,-63.198347,3.81,3.8,Casa,209,125,6,3,1,1,30,Malo,Ladrillo,Suroeste,1,1,1,0,0,630.93,80500.0,560300.0,2023-12-25,1
SC-00912,El Trompillo,2,Medio-Alto,-17.790767,-63.19765,2.52,6.75,Departamento,114,107,3,1,1,1,12,Bueno,Hormigón armado,Sur,0,0,1,0,0,549.92,61400.0,427300.0,2022-12-22,1
SC-00913,Barrio Sirari,3,Medio-Alto,-17.749341,-63.182525,3.79,2.15,Departamento,94,82,2,3,1,0,5,Regular,Mixto,Sur,0,0,0,1,0,414.35,33900.0,235900.0,2023-10-24,1
SC-00914,Warnes,6,Bajo,-17.51353,-63.178242,30.31,24.03,Casa,346,168,4,4,1,3,21,Bueno,Hormigón armado,Suroeste,0,0,0,0,0,184.86,30300.0,210900.0,2022-02-05,1
SC-00915,Av. Paurito,5,Medio-Bajo,-17.801529,-63.221221,6.2,7.94,Casa,277,140,5,1,2,2,5,Malo,Mixto,Norte,0,0,0,0,0,230.19,33500.0,233200.0,2022-06-14,1
SC-00916,Av. Cristo Redentor,3,Medio,-17.77666,-63.167361,2.25,5.18,Departamento,116,115,4,1,1,2,15,Regular,Hormigón armado,Noreste,0,0,1,1,0,356.6,42300.0,294400.0,2024-01-30,1
SC-00917,Norte (Radial 26),4,Medio-Alto,-17.710385,-63.162199,10.15,2.18,Oficina,278,192,5,3,2,2,45,Bueno,Hormigón armado,Sureste,0,0,1,0,1,250.38,50000.0,348000.0,2024-06-10,1
SC-00918,Las Palmas,2,Alto-Medio,-17.759728,-63.198606,4.34,3.3,Casa,93,74,6,3,1,4,32,Bueno,Hormigón armado,Noroeste,0,1,0,0,1,721.56,53100.0,369600.0,2022-02-21,0
SC-00919,Sur (Doble Vía La Guardia),4,Medio,-17.829473,-63.18829,5.82,11.04,Casa,354,181,4,3,1,2,34,Excelente,Hormigón armado,Norte,0,1,0,0,0,203.52,35700.0,248500.0,2023-09-03,1
SC-00920,Barrio Sirari,3,Medio-Alto,-17.75853,-63.185817,3.12,3.17,Departamento,106,97,4,1,1,0,5,Bueno,Mixto,Noroeste,0,0,0,1,1,679.24,62700.0,436400.0,2023-04-15,1
SC-00921,Hamacas,2,Alto-Medio,-17.762202,-63.185943,2.73,3.57,Oficina,207,125,6,4,1,2,4,Malo,Hormigón armado,Sur,0,0,0,0,1,507.13,62000.0,431500.0,2022-12-12,0
SC-00922,Barrio Sirari,3,Medio-Alto,-17.739743,-63.196824,6.37,1.08,Departamento,179,164,1,1,1,2,30,Malo,Hormigón armado,Sur,0,0,0,0,0,287.35,48300.0,336200.0,2024-03-23,1
SC-00923,Casco Viejo,1,Medio,-17.769118,-63.17815,1.95,4.34,Casa,145,106,6,2,3,2,3,Malo,Hormigón armado,Este,0,1,0,0,0,368.21,40400.0,281200.0,2022-10-11,1
SC-00924,Equipetrol Norte,3,Alto,-17.754637,-63.178451,3.52,2.73,Departamento,99,96,2,3,1,1,9,Bueno,Hormigón armado,Noroeste,1,0,0,0,0,716.43,70900.0,493500.0,2022-04-10,1
SC-00925,Equipetrol Norte,3,Alto,-17.746474,-63.188416,4.73,1.83,Casa,535,234,2,3,3,4,45,Bueno,Adobe,Norte,0,1,1,0,1,536.59,128700.0,895800.0,2022-12-18,1
SC-00926,Plan 3000,4,Bajo,-17.813997,-63.132606,8.66,9.32,Departamento,179,163,4,3,1,0,15,Bueno,Hormigón armado,Sur,0,0,0,1,0,181.49,30900.0,215100.0,2023-10-09,1
SC-00927,Av. Paurito,5,Medio-Bajo,-17.787555,-63.228649,5.44,6.39,Casa,304,213,6,3,2,2,18,Bueno,Ladrillo,Noroeste,0,1,0,0,0,196.06,41700.0,290200.0,2023-08-02,1
SC-00928,Av. Paurito,5,Medio-Bajo,-17.787646,-63.230602,5.65,6.4,Casa,151,109,4,4,1,4,24,Malo,Hormigón armado,Oeste,0,1,1,0,0,191.13,20800.0,144800.0,2022-08-05,0
SC-00929,Av. Cristo Redentor,3,Medio,-17.761355,-63.170716,3.6,3.48,Casa,124,88,3,4,3,2,26,Regular,Hormigón armado,Noroeste,0,0,0,0,0,340.61,30300.0,210900.0,2023-10-08,1
SC-00930,Beni (zona norte),3,Medio-Alto,-17.758233,-63.181155,2.84,3.13,Duplex,410,230,4,4,1,3,25,Bueno,Mixto,Sureste,0,0,0,0,0,419.88,101200.0,704400.0,2022-10-23,1
SC-00931,Palermo,3,Medio,-17.785029,-63.166126,1.9,6.11,Terreno,412,0,0,0,0,0,0,Regular,Hormigón armado,Sureste,0,0,1,0,0,189.6,81400.0,566500.0,2023-03-05,1
SC-00932,Norte (Radial 26),4,Medio-Alto,-17.729938,-63.15595,8.64,0.01,Departamento,51,50,2,3,1,2,19,En construcción,Hormigón armado,Oeste,0,0,1,0,0,341.96,17800.0,123900.0,2022-06-20,1
SC-00933,Warnes,6,Bajo,-17.513888,-63.179209,30.17,23.99,Casa,474,228,4,1,3,3,38,Malo,Hormigón armado,Noroeste,0,1,1,0,0,71.13,15700.0,109300.0,2024-01-11,0
SC-00934,Las Palmas,2,Alto-Medio,-17.746133,-63.210758,7.13,1.79,Local Comercial,219,158,3,3,1,0,18,Bueno,Ladrillo,Oeste,0,0,0,0,1,535.0,83900.0,583900.0,2024-03-26,1
SC-00935,Warnes,6,Bajo,-17.495288,-63.157356,34.54,26.05,Departamento,130,126,3,1,1,1,7,Regular,Ladrillo,Sureste,0,0,1,1,0,85.32,10400.0,72400.0,2024-06-06,1
SC-00936,Warnes,6,Bajo,-17.502686,-63.16152,33.28,25.23,Departamento,81,77,4,2,1,2,28,Regular,Steel frame,Norte,0,0,0,0,0,126.26,9800.0,68200.0,2023-03-26,1
SC-00937,Barrio Sirari,3,Medio-Alto,-17.742915,-63.178028,4.87,1.43,Casa,103,82,5,1,2,4,25,Excelente,Mixto,Sur,0,0,0,0,0,543.11,46300.0,322200.0,2024-01-10,1
SC-00938,Cotoca (periurbano),6,Bajo,-17.802771,-63.038601,17.35,8.08,Casa,597,240,3,4,1,0,16,Bueno,Ladrillo,Oeste,0,1,1,0,0,125.64,30700.0,213700.0,2024-02-15,1
SC-00939,Casco Viejo,1,Medio,-17.786515,-63.178081,0.8,6.27,Departamento,150,148,4,3,1,2,8,Bueno,Ladrillo,Norte,0,0,0,1,0,519.92,80100.0,557500.0,2022-08-15,0
SC-00940,Av. Cristo Redentor,3,Medio,-17.774689,-63.157136,3.55,4.96,Terreno,167,0,0,0,0,0,0,Regular,Ladrillo,Noreste,0,0,0,0,0,222.85,37000.0,257500.0,2023-05-02,1
SC-00941,Sur (Doble Vía La Guardia),4,Medio,-17.82696,-63.162634,6.93,10.76,Casa,378,175,3,2,3,3,18,Malo,Ladrillo,Este,0,1,0,0,0,144.83,24200.0,168400.0,2023-08-22,1
SC-00942,Villa 1ro de Mayo,4,Bajo,-17.803418,-63.159156,4.68,8.15,Departamento,115,105,4,2,1,0,19,Regular,Ladrillo,Noroeste,0,0,1,0,0,188.32,19300.0,134300.0,2023-01-23,0
SC-00943,Warnes,6,Bajo,-17.503432,-63.169844,32.32,25.15,Casa,471,339,6,4,1,3,30,Bueno,Hormigón armado,Oeste,0,1,1,0,0,194.48,64200.0,446800.0,2022-06-03,1
SC-00944,Los Pozos,3,Medio,-17.804493,-63.152713,5.48,8.27,Terreno,104,0,0,0,0,0,0,Bueno,Hormigón armado,Norte,0,0,1,0,0,261.73,26200.0,182400.0,2024-05-10,1
SC-00945,Palermo,3,Medio,-17.785045,-63.173114,1.17,6.11,Terreno,394,0,0,0,0,0,0,Regular,Hormigón armado,Norte,0,0,1,0,0,312.88,119700.0,833100.0,2023-02-13,1
SC-00946,Av. Paurito,5,Medio-Bajo,-17.791147,-63.230928,6.08,6.79,Departamento,101,88,3,3,1,2,30,Excelente,Mixto,Suroeste,0,0,1,0,0,309.14,27200.0,189300.0,2023-08-04,1
SC-00947,Hamacas,2,Alto-Medio,-17.738521,-63.196651,6.49,0.95,Terreno,181,0,0,0,0,0,0,Bueno,Ladrillo,Este,1,0,1,0,0,347.54,61500.0,428000.0,2022-02-11,0
SC-00948,Casco Viejo,1,Medio,-17.779109,-63.184515,0.7,5.45,Casa,141,107,3,1,1,2,33,Regular,Ladrillo,Suroeste,0,1,0,0,0,284.02,31900.0,222000.0,2022-04-11,1
SC-00949,Los Pozos,3,Medio,-17.787577,-63.152137,3.66,6.39,Casa,160,124,2,2,2,3,7,Regular,Hormigón armado,Suroeste,0,1,0,0,0,212.86,25400.0,176800.0,2022-11-04,1
SC-00950,Av. Cristo Redentor,3,Medio,-17.762742,-63.158044,4.78,3.63,Oficina,460,249,2,4,3,4,12,Bueno,Hormigón armado,Sureste,0,0,1,0,0,544.19,134800.0,938200.0,2023-09-08,1
SC-00951,Norte (Radial 26),4,Medio-Alto,-17.718956,-63.155113,9.95,1.23,Casa,264,130,5,3,3,2,19,Regular,Hormigón armado,Suroeste,0,0,0,0,1,252.33,32300.0,224800.0,2022-04-25,0
SC-00952,El Trompillo,2,Medio-Alto,-17.786108,-63.189138,1.1,6.23,Departamento,76,71,3,3,1,1,15,Bueno,Adobe,Suroeste,0,0,0,1,1,670.26,47300.0,329200.0,2022-12-17,1
SC-00953,Av. Banzer (norte),4,Medio-Alto,-17.740671,-63.194193,5.99,1.18,Casa,292,147,2,2,1,4,19,Regular,Adobe,Oeste,0,1,1,0,1,492.07,71700.0,499000.0,2023-08-08,1
SC-00954,Plan 3000,4,Bajo,-17.808655,-63.127919,8.56,8.73,Casa,320,262,5,2,1,1,39,Bueno,Ladrillo,Sureste,0,1,0,0,0,241.61,61600.0,428700.0,2024-03-09,1
SC-00955,Hamacas,2,Alto-Medio,-17.737086,-63.195797,6.55,0.79,Casa,240,170,4,3,1,2,19,Regular,Mixto,Norte,0,0,0,0,1,680.8,119800.0,833800.0,2024-02-20,0
SC-00956,Equipetrol Sur,3,Alto,-17.777401,-63.182402,0.66,5.26,Departamento,55,49,2,2,1,1,24,Bueno,Hormigón armado,Noroeste,1,0,1,1,0,579.51,27000.0,187900.0,2023-03-14,0
SC-00957,Plan 3000,4,Bajo,-17.801719,-63.128033,7.78,7.96,Departamento,174,174,2,1,1,2,19,Excelente,Hormigón armado,Suroeste,0,0,0,1,0,221.63,39400.0,274200.0,2024-01-09,1
SC-00958,Av. Paurito,5,Medio-Bajo,-17.808677,-63.227898,7.7,8.73,Local Comercial,60,40,5,4,1,4,17,Excelente,Hormigón armado,Noroeste,0,0,1,0,0,388.44,15700.0,109300.0,2022-10-10,1
SC-00959,Cotoca (periurbano),6,Bajo,-17.802922,-63.054557,15.68,8.09,Casa,494,284,5,2,3,2,4,Malo,Mixto,Noreste,0,0,1,0,0,99.69,29300.0,203900.0,2023-08-11,1
SC-00960,Equipetrol Sur,3,Alto,-17.767238,-63.170131,3.0,4.13,Casa,372,203,6,3,3,2,33,Regular,Ladrillo,Noroeste,0,1,1,0,0,503.11,103400.0,719700.0,2024-03-02,1
SC-00961,Beni (zona norte),3,Medio-Alto,-17.753466,-63.168439,4.71,2.6,Casa,116,60,5,2,2,2,23,Regular,Adobe,Este,0,1,1,0,1,527.01,32600.0,226900.0,2022-05-03,1
SC-00962,Cotoca (periurbano),6,Bajo,-17.809082,-63.060625,15.72,8.78,Oficina,78,40,2,1,3,0,23,En construcción,Mixto,Noroeste,0,0,1,0,0,130.79,5100.0,35500.0,2024-03-20,1
SC-00963,Casco Viejo,1,Medio,-17.781712,-63.193119,1.32,5.74,Casa,354,145,2,1,3,4,5,Regular,Mixto,Sur,0,0,0,0,0,416.89,61200.0,426000.0,2023-08-11,0
SC-00964,Norte (Radial 26),4,Medio-Alto,-17.721594,-63.16166,8.97,0.93,Penthouse,149,141,1,3,1,1,13,Bueno,Hormigón armado,Este,0,0,0,0,0,378.2,54000.0,375800.0,2023-10-26,1
SC-00965,Warnes,6,Bajo,-17.501687,-63.169432,32.55,25.34,Terreno,174,0,0,0,0,0,0,En construcción,Mixto,Sureste,0,0,1,0,0,79.88,14500.0,100900.0,2023-08-12,1
SC-00966,Norte (Radial 26),4,Medio-Alto,-17.715008,-63.176438,8.13,1.66,Departamento,98,91,1,1,1,1,10,Regular,Ladrillo,Oeste,0,0,0,0,1,251.58,24000.0,167000.0,2024-02-28,0
